use_home_adv,sparse_threshold,lookback_years,half_life,floor,lam,clamped,pooled_rps,pooled_brier,rps_2018,rps_2022
False,15,8.0,12.0,0.0,0.0001582527809497592,True,0.1918017062944902,0.5546757489423422,0.1844263188192574,0.199177093769723
False,15,8.0,12.0,0.05,0.0001582527809497592,True,0.1918017062944902,0.5546757489423422,0.1844263188192574,0.199177093769723
False,15,8.0,12.0,0.1,0.0001582527809497592,True,0.1918017062944902,0.5546757489423422,0.1844263188192574,0.199177093769723
False,15,8.0,12.0,0.2,0.0001582527809497592,True,0.1918017062944902,0.5546757489423422,0.1844263188192574,0.199177093769723
False,20,8.0,12.0,0.2,0.0001582527809497592,True,0.1921439132550164,0.5553858123589276,0.18371886503156654,0.20056896147846626
False,20,8.0,12.0,0.05,0.0001582527809497592,True,0.1921439132550164,0.5553858123589276,0.18371886503156654,0.20056896147846626
False,20,8.0,12.0,0.0,0.0001582527809497592,True,0.1921439132550164,0.5553858123589276,0.18371886503156654,0.20056896147846626
False,20,8.0,12.0,0.1,0.0001582527809497592,True,0.1921439132550164,0.5553858123589276,0.18371886503156654,0.20056896147846626
False,15,8.0,8.0,0.0,0.0002373791714246388,True,0.19220351872019203,0.555780020965825,0.1848562696879042,0.19955076775247987
False,15,8.0,8.0,0.1,0.0002373791714246388,True,0.19220351872019203,0.555780020965825,0.1848562696879042,0.19955076775247987
False,15,8.0,8.0,0.2,0.0002373791714246388,True,0.19220351872019203,0.555780020965825,0.1848562696879042,0.19955076775247987
False,15,8.0,8.0,0.05,0.0002373791714246388,True,0.19220351872019203,0.555780020965825,0.1848562696879042,0.19955076775247987
False,15,7.0,12.0,0.2,0.0001582527809497592,False,0.19224518123907144,0.5575265008721414,0.18417094722622207,0.20031941525192082
False,15,7.0,12.0,0.0,0.0001582527809497592,False,0.19224518123907144,0.5575265008721414,0.18417094722622207,0.20031941525192082
False,15,7.0,12.0,0.05,0.0001582527809497592,False,0.19224518123907144,0.5575265008721414,0.18417094722622207,0.20031941525192082
False,15,7.0,12.0,0.1,0.0001582527809497592,False,0.19224518123907144,0.5575265008721414,0.18417094722622207,0.20031941525192082
False,20,7.0,12.0,0.2,0.0001582527809497592,False,0.19235241448523735,0.5582260278897822,0.18433724716959932,0.20036758180087538
False,20,7.0,12.0,0.1,0.0001582527809497592,False,0.19235241448523735,0.5582260278897822,0.18433724716959932,0.20036758180087538
False,20,7.0,12.0,0.05,0.0001582527809497592,False,0.19235241448523735,0.5582260278897822,0.18433724716959932,0.20036758180087538
False,20,7.0,12.0,0.0,0.0001582527809497592,False,0.19235241448523735,0.5582260278897822,0.18433724716959932,0.20036758180087538
False,20,8.0,8.0,0.1,0.0002373791714246388,True,0.19251854878735597,0.5564345414052779,0.18415615608814867,0.2008809414865633
False,20,8.0,8.0,0.05,0.0002373791714246388,True,0.19251854878735597,0.5564345414052779,0.18415615608814867,0.2008809414865633
False,20,8.0,8.0,0.0,0.0002373791714246388,True,0.19251854878735597,0.5564345414052779,0.18415615608814867,0.2008809414865633
False,20,8.0,8.0,0.2,0.0002373791714246388,True,0.19251854878735597,0.5564345414052779,0.18415615608814867,0.2008809414865633
False,15,6.0,12.0,0.2,0.0001582527809497592,False,0.192568313926063,0.5580422102611542,0.18542538471054754,0.19971124314157845
False,15,6.0,12.0,0.05,0.0001582527809497592,False,0.192568313926063,0.5580422102611542,0.18542538471054754,0.19971124314157845
False,15,6.0,12.0,0.0,0.0001582527809497592,False,0.192568313926063,0.5580422102611542,0.18542538471054754,0.19971124314157845
False,15,6.0,12.0,0.1,0.0001582527809497592,False,0.192568313926063,0.5580422102611542,0.18542538471054754,0.19971124314157845
False,20,6.0,12.0,0.2,0.0001582527809497592,False,0.19265721359307653,0.5586964047365541,0.18561768697863154,0.1996967402075215
