round,round_id,group,date,home_team,away_team,home_score,away_score,winner,is_knockout,played,match_uid,event_id,status,home_score_ht,away_score_ht,et_home,et_away,pens_home,pens_away,is_neutral_ground
,G2,K,2026-06-24,Colombia,DR Congo,,,,False,False,GRP|Colombia|DR Congo,8334,notstarted,,,,,,,False
,G3,F,2026-06-25,Tunisia,Netherlands,,,,False,False,GRP|Netherlands|Tunisia,8344,notstarted,,,,,,,False
,G3,F,2026-06-25,Japan,Sweden,,,,False,False,GRP|Japan|Sweden,8343,notstarted,,,,,,,False
,G3,E,2026-06-25,Curaçao,Ivory Coast,,,,False,False,GRP|Curaçao|Ivory Coast,8341,notstarted,,,,,,,False
,G3,E,2026-06-25,Ecuador,Germany,,,,False,False,GRP|Ecuador|Germany,8342,notstarted,,,,,,,False
,G3,A,2026-06-25,Czechia,Mexico,,,,False,False,GRP|Czechia|Mexico,8340,notstarted,,,,,,,False
,G3,A,2026-06-25,South Africa,South Korea,,,,False,False,GRP|South Africa|South Korea,8339,notstarted,,,,,,,False
,G3,I,2026-06-26,Norway,France,,,,False,False,GRP|France|Norway,8347,notstarted,,,,,,,False
,G3,I,2026-06-26,Senegal,Iraq,,,,False,False,GRP|Iraq|Senegal,8348,notstarted,,,,,,,False
,G3,D,2026-06-26,Turkey,United States,,,,False,False,GRP|Turkey|United States,8346,notstarted,,,,,,,False
,G3,D,2026-06-26,Paraguay,Australia,,,,False,False,GRP|Australia|Paraguay,8345,notstarted,,,,,,,False
,G3,K,2026-06-27,DR Congo,Uzbekistan,,,,False,False,GRP|DR Congo|Uzbekistan,8356,notstarted,,,,,,,False
,G3,K,2026-06-27,Colombia,Portugal,,,,False,False,GRP|Colombia|Portugal,8355,notstarted,,,,,,,False
,G3,L,2026-06-27,Croatia,Ghana,,,,False,False,GRP|Croatia|Ghana,8353,notstarted,,,,,,,False
,G3,L,2026-06-27,Panama,England,,,,False,False,GRP|England|Panama,8354,notstarted,,,,,,,False
,G3,G,2026-06-27,New Zealand,Belgium,,,,False,False,GRP|Belgium|New Zealand,8352,notstarted,,,,,,,False
,G3,G,2026-06-27,Egypt,Iran,,,,False,False,GRP|Egypt|Iran,8351,notstarted,,,,,,,False
,G3,H,2026-06-27,Cape Verde,Saudi Arabia,,,,False,False,GRP|Cape Verde|Saudi Arabia,8349,notstarted,,,,,,,False
,G3,H,2026-06-27,Uruguay,Spain,,,,False,False,GRP|Spain|Uruguay,8350,notstarted,,,,,,,False
Round of 32,R32,,2026-06-28,2A,2B,,,,True,False,KO|2A|2B,8359,notstarted,,,,,,,False
,G3,J,2026-06-28,Jordan,Argentina,,,,False,False,GRP|Argentina|Jordan,8358,notstarted,,,,,,,False
,G3,J,2026-06-28,Algeria,Austria,,,,False,False,GRP|Algeria|Austria,8357,notstarted,,,,,,,False
