id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label
1,1,1.0,2.0,15,1,2026-06-12 03:00:00,Group A
2,2,3.0,4.0,14,1,2026-06-12 10:00:00,Group A
3,3,5.0,6.0,12,1,2026-06-13 03:00:00,Group B
4,4,13.0,14.0,6,1,2026-06-13 09:00:00,Group D
5,5,7.0,8.0,10,1,2026-06-14 03:00:00,Group B
6,6,9.0,10.0,8,1,2026-06-14 06:00:00,Group C
7,7,11.0,12.0,2,1,2026-06-14 09:00:00,Group C
8,8,15.0,16.0,13,1,2026-06-14 12:00:00,Group D
9,9,17.0,18.0,4,1,2026-06-15 01:00:00,Group E
10,10,21.0,22.0,3,1,2026-06-15 04:00:00,Group F
11,11,19.0,20.0,9,1,2026-06-15 07:00:00,Group E
12,12,23.0,24.0,16,1,2026-06-15 10:00:00,Group F
13,13,29.0,30.0,1,1,2026-06-16 00:00:00,Group H
14,14,25.0,26.0,11,1,2026-06-16 03:00:00,Group G
15,15,31.0,32.0,7,1,2026-06-16 06:00:00,Group H
16,16,27.0,28.0,6,1,2026-06-16 09:00:00,Group G
17,17,33.0,34.0,8,1,2026-06-17 03:00:00,Group I
18,18,35.0,36.0,2,1,2026-06-17 06:00:00,Group I
19,19,37.0,38.0,5,1,2026-06-17 09:00:00,Group J
20,20,39.0,40.0,10,1,2026-06-17 12:00:00,Group J
21,21,41.0,42.0,4,1,2026-06-18 01:00:00,Group K
22,22,45.0,46.0,3,1,2026-06-18 04:00:00,Group L
23,23,47.0,48.0,12,1,2026-06-18 07:00:00,Group L
24,24,43.0,44.0,15,1,2026-06-18 10:00:00,Group K
25,25,4.0,2.0,1,1,2026-06-19 00:00:00,Group A
26,26,8.0,6.0,6,1,2026-06-19 03:00:00,Group B
27,27,5.0,7.0,13,1,2026-06-19 06:00:00,Group B
28,28,1.0,3.0,14,1,2026-06-19 09:00:00,Group A
29,29,13.0,15.0,11,1,2026-06-20 03:00:00,Group D
30,30,12.0,10.0,2,1,2026-06-20 06:00:00,Group C
31,31,9.0,11.0,9,1,2026-06-20 09:00:00,Group C
32,32,16.0,14.0,10,1,2026-06-20 12:00:00,Group D
33,33,21.0,23.0,4,1,2026-06-21 01:00:00,Group F
34,34,17.0,19.0,12,1,2026-06-21 04:00:00,Group E
35,35,20.0,18.0,5,1,2026-06-21 08:00:00,Group E
36,36,24.0,22.0,16,1,2026-06-21 12:00:00,Group F
37,37,29.0,31.0,1,1,2026-06-22 00:00:00,Group H
38,38,25.0,27.0,6,1,2026-06-22 03:00:00,Group G
39,39,32.0,30.0,7,1,2026-06-22 06:00:00,Group H
40,40,28.0,26.0,13,1,2026-06-22 09:00:00,Group G
41,41,37.0,39.0,3,1,2026-06-23 01:00:00,Group J
42,42,33.0,35.0,9,1,2026-06-23 05:00:00,Group I
43,43,36.0,34.0,8,1,2026-06-23 08:00:00,Group I
44,44,40.0,38.0,10,1,2026-06-23 11:00:00,Group J
45,45,41.0,43.0,4,1,2026-06-24 01:00:00,Group K
46,46,45.0,47.0,2,1,2026-06-24 04:00:00,Group L
47,47,48.0,46.0,12,1,2026-06-24 07:00:00,Group L
48,48,44.0,42.0,14,1,2026-06-24 10:00:00,Group K
49,49,8.0,5.0,13,1,2026-06-25 03:00:00,Group B
50,50,6.0,7.0,11,1,2026-06-25 03:00:00,Group B
51,51,12.0,9.0,7,1,2026-06-25 06:00:00,Group C
52,52,10.0,11.0,1,1,2026-06-25 06:00:00,Group C
53,53,4.0,1.0,15,1,2026-06-25 09:00:00,Group A
54,54,2.0,3.0,16,1,2026-06-25 09:00:00,Group A
55,55,18.0,19.0,9,1,2026-06-26 04:00:00,Group E
56,56,20.0,17.0,8,1,2026-06-26 04:00:00,Group E
57,57,22.0,23.0,3,1,2026-06-26 07:00:00,Group F
58,58,24.0,21.0,5,1,2026-06-26 07:00:00,Group F
59,59,16.0,13.0,6,1,2026-06-26 10:00:00,Group D
60,60,14.0,15.0,10,1,2026-06-26 10:00:00,Group D
61,61,36.0,33.0,2,1,2026-06-27 03:00:00,Group I
62,62,34.0,35.0,12,1,2026-06-27 03:00:00,Group I
63,63,30.0,31.0,4,1,2026-06-27 08:00:00,Group H
64,64,32.0,29.0,14,1,2026-06-27 08:00:00,Group H
65,65,26.0,27.0,11,1,2026-06-27 11:00:00,Group G
66,66,28.0,25.0,13,1,2026-06-27 11:00:00,Group G
67,67,48.0,45.0,8,1,2026-06-28 05:00:00,Group L
68,68,46.0,47.0,9,1,2026-06-28 05:00:00,Group L
69,69,44.0,41.0,7,1,2026-06-28 07:30:00,Group K
70,70,42.0,43.0,1,1,2026-06-28 07:30:00,Group K
71,71,38.0,39.0,5,1,2026-06-28 10:00:00,Group J
72,72,40.0,37.0,3,1,2026-06-28 10:00:00,Group J
73,73,,,6,2,2026-06-29 03:00:00,2A vs 2B
74,74,,,2,2,2026-06-30 04:30:00,1E vs 3ABCDF
75,75,,,16,2,2026-06-30 09:00:00,1F vs 2C
76,76,,,4,2,2026-06-30 01:00:00,1C vs 2F
77,77,,,8,2,2026-07-01 05:00:00,1I vs 3CDFGH
78,78,,,3,2,2026-07-01 01:00:00,2E vs 2I
79,79,,,15,2,2026-07-01 09:00:00,1A vs 3CEFHI
80,80,,,1,2,2026-07-02 00:00:00,1L vs 3EHIJK
81,81,,,10,2,2026-07-02 08:00:00,1D vs 3BEFIJ
82,82,,,11,2,2026-07-02 04:00:00,1G vs 3AEHIJ
83,83,,,12,2,2026-07-03 07:00:00,2K vs 2L
84,84,,,6,2,2026-07-03 03:00:00,1H vs 2J
85,85,,,13,2,2026-07-03 11:00:00,1B vs 3EFGIJ
86,86,,,7,2,2026-07-04 06:00:00,1J vs 2H
87,87,,,5,2,2026-07-04 09:30:00,1K vs 3DEIJL
88,88,,,3,2,2026-07-04 02:00:00,2D vs 2G
89,89,,,9,3,2026-07-05 05:00:00,W73 vs W75
90,90,,,4,3,2026-07-05 01:00:00,W74 vs W77
91,91,,,8,3,2026-07-06 04:00:00,W76 vs W78
92,92,,,15,3,2026-07-06 08:00:00,W79 vs W80
93,93,,,3,3,2026-07-07 03:00:00,W83 vs W84
94,94,,,11,3,2026-07-07 08:00:00,W81 vs W82
95,95,,,1,3,2026-07-08 00:00:00,W86 vs W88
96,96,,,13,3,2026-07-08 04:00:00,W85 vs W87
97,97,,,2,4,2026-07-10 04:00:00,W89 vs W90
98,98,,,6,4,2026-07-11 03:00:00,W93 vs W94
99,99,,,7,4,2026-07-12 05:00:00,W91 vs W92
100,100,,,5,4,2026-07-12 09:00:00,W95 vs W96
101,101,,,3,5,2026-07-15 03:00:00,W97 vs W98
102,102,,,1,5,2026-07-16 03:00:00,W99 vs W100
103,103,,,7,6,2026-07-19 05:00:00,RU101 vs RU102
104,104,,,8,7,2026-07-20 03:00:00,W101 vs W102
