date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2018-06-26,Denmark,France,0,0,World Cup,Russia,True,1888.0,2006.0
2018-06-26,Croatia,Iceland,2,1,World Cup,Russia,True,1956.0,1708.0
2018-06-27,South Korea,Germany,2,0,World Cup,Russia,True,1756.0,1963.0
2018-06-27,Costa Rica,Switzerland,2,2,World Cup,Russia,True,1725.0,1912.0
2018-06-27,Sweden,Mexico,3,0,World Cup,Russia,True,1870.0,1842.0
2018-06-27,Brazil,Serbia,2,0,World Cup,Russia,True,2141.0,1780.0
2018-06-28,Colombia,Senegal,1,0,World Cup,Russia,True,1937.0,1760.0
2018-06-28,Belgium,England,1,0,World Cup,Russia,True,1998.0,1943.0
2018-06-28,Poland,Japan,1,0,World Cup,Russia,True,1782.0,1707.0
2018-06-28,Tunisia,Panama,2,1,World Cup,Russia,True,1657.0,1593.0
2018-06-30,Uruguay,Portugal,2,1,World Cup,Russia,True,1983.0,1938.0
2018-06-30,France,Argentina,4,3,World Cup,Russia,True,2028.0,1895.0
2018-07-01,Russia,Spain,1,1,World Cup,Russia,False,1708.0,2009.0
2018-07-01,Croatia,Denmark,1,1,World Cup,Russia,True,1950.0,1894.0
2018-07-02,Belgium,Japan,3,2,World Cup,Russia,True,2007.0,1698.0
2018-07-02,Brazil,Mexico,2,0,World Cup,Russia,True,2155.0,1828.0
2018-07-03,Colombia,England,1,1,World Cup,Russia,True,1938.0,1942.0
2018-07-03,Sweden,Switzerland,1,0,World Cup,Russia,True,1904.0,1878.0
2018-07-06,France,Uruguay,2,0,World Cup,Russia,True,2067.0,1944.0
2018-07-06,Belgium,Brazil,2,1,World Cup,Russia,True,2049.0,2113.0
2018-07-07,Russia,Croatia,2,2,World Cup,Russia,False,1720.0,1938.0
2018-07-07,England,Sweden,2,0,World Cup,Russia,True,1982.0,1864.0
2018-07-10,France,Belgium,1,0,World Cup,Russia,True,2095.0,2021.0
2018-07-11,Croatia,England,2,1,World Cup,Russia,True,1972.0,1948.0
2018-07-14,Belgium,England,2,0,World Cup,Russia,True,2057.0,1912.0
2018-07-15,France,Croatia,4,2,World Cup,Russia,True,2125.0,1942.0
2018-09-06,Norway,Cyprus,2,0,European Nations League C,Norway,False,1647.0,1394.0
2018-09-07,Argentina,Guatemala,3,0,Friendly,United States,True,1899.0,1515.0
2018-09-07,Uruguay,Mexico,4,1,Friendly,United States,True,1956.0,1816.0
2018-09-07,Ecuador,Jamaica,2,0,Friendly,United States,True,1754.0,1561.0
2018-09-07,Colombia,Venezuela,2,1,Friendly,United States,True,1943.0,1733.0
2018-09-08,Gambia,Algeria,1,1,African Nations Cup qualifier,The Gambia,True,1279.0,1498.0
2018-09-08,Northern Ireland,Bosnia and Herzegovina,1,2,European Nations League B,Northern Ireland,False,1654.0,1766.0
2018-09-09,Bulgaria,Norway,1,0,European Nations League C,Bulgaria,False,1654.0,1632.0
2018-09-09,Canada,US Virgin Islands,8,0,CONCACAF Nations League q,United States,True,1534.0,721.0
2018-09-10,Scotland,Albania,2,0,European Nations League C,Scotland,False,1714.0,1560.0
2018-09-11,Brazil,El Salvador,5,0,Friendly,United States,True,2120.0,1470.0
2018-09-11,Ecuador,Guatemala,2,0,Friendly,United States,True,1760.0,1509.0
2018-09-11,Argentina,Colombia,0,0,Friendly,United States,True,1900.0,1942.0
2018-09-11,Bosnia and Herzegovina,Austria,1,0,European Nations League B,Bosnia and Herzegovina,False,1780.0,1744.0
2018-10-11,Argentina,Iraq,4,0,Friendly tournament,Saudi Arabia,True,1907.0,1560.0
2018-10-11,Israel,Scotland,2,1,European Nations League C,Israel,False,1531.0,1688.0
2018-10-12,Curaçao,US Virgin Islands,5,0,CONCACAF Nations League q,United States,True,1310.0,718.0
2018-10-12,Austria,Northern Ireland,1,0,European Nations League B,Austria,False,1754.0,1651.0
2018-10-13,Norway,Slovenia,1,0,European Nations League C,Norway,False,1643.0,1563.0
2018-10-15,Bosnia and Herzegovina,Northern Ireland,2,0,European Nations League B,Bosnia and Herzegovina,False,1795.0,1638.0
2018-10-16,Norway,Bulgaria,1,0,European Nations League C,Norway,False,1658.0,1644.0
2018-10-16,Brazil,Argentina,1,0,Friendly tournament,Saudi Arabia,True,2130.0,1900.0
2018-10-16,Ecuador,Oman,0,0,Friendly,Qatar,True,1741.0,1538.0
2018-10-16,Colombia,Costa Rica,3,1,Friendly,United States,True,1960.0,1691.0
2018-10-16,Haiti,Saint Lucia,2,1,CONCACAF Nations League q,Martinique,True,1499.0,1141.0
2018-11-15,Lebanon,Uzbekistan,0,0,Friendly,Australia,True,1468.0,1601.0
2018-11-15,Austria,Bosnia and Herzegovina,0,0,European Nations League B,Austria,False,1745.0,1798.0
2018-11-16,Brazil,Uruguay,1,0,Friendly,England,True,2135.0,1925.0
2018-11-16,Slovenia,Norway,1,1,European Nations League C,Slovenia,False,1551.0,1658.0
2018-11-17,Albania,Scotland,0,4,European Nations League C,Albania,False,1499.0,1712.0
2018-11-18,Northern Ireland,Austria,1,2,European Nations League B,Northern Ireland,False,1622.0,1765.0
2018-11-19,Cyprus,Norway,0,2,European Nations League C,Cyprus,False,1413.0,1678.0
2018-11-19,Iceland,Qatar,2,2,Friendly,Belgium,True,1668.0,1530.0
2018-11-20,Iran,Venezuela,1,1,Friendly,Qatar,True,1826.0,1756.0
2018-11-20,South Korea,Uzbekistan,4,0,Friendly,Australia,True,1783.0,1591.0
2018-11-20,Bolivia,Iraq,0,0,Friendly,United Arab Emirates,True,1655.0,1568.0
2018-11-20,Brazil,Cameroon,1,0,Friendly,England,True,2136.0,1598.0
2018-11-20,Italy,United States,1,0,Friendly,Belgium,True,1888.0,1742.0
2018-11-20,Scotland,Israel,3,2,European Nations League C,Scotland,False,1720.0,1561.0
2018-12-20,Kyrgyzstan,Jordan,1,0,Friendly,Qatar,True,1280.0,1454.0
2018-12-24,Iraq,China,2,1,Friendly,Qatar,True,1577.0,1516.0
2018-12-24,Iran,Palestine,1,1,Friendly,Qatar,True,1818.0,1400.0
2018-12-28,Iraq,Palestine,1,0,Friendly,Qatar,True,1582.0,1395.0
2018-12-28,China,Jordan,1,1,Friendly,Qatar,True,1514.0,1448.0
2018-12-30,Australia,Oman,5,0,Friendly,United Arab Emirates,True,1736.0,1528.0
2018-12-31,Saudi Arabia,South Korea,0,0,Friendly,United Arab Emirates,True,1583.0,1778.0
2019-01-06,Jordan,Australia,1,0,Asian Cup,United Arab Emirates,True,1490.0,1694.0
2019-01-07,South Korea,Philippines,1,0,Asian Cup,United Arab Emirates,True,1780.0,1174.0
2019-01-07,Iran,Yemen,5,0,Asian Cup,United Arab Emirates,True,1826.0,1188.0
2019-01-08,Iraq,Vietnam,3,2,Asian Cup,United Arab Emirates,True,1592.0,1328.0
2019-01-08,Saudi Arabia,North Korea,4,0,Asian Cup,United Arab Emirates,True,1611.0,1403.0
2019-01-08,Finland,Sweden,1,0,Friendly,Qatar,True,1636.0,1834.0
2019-01-09,Qatar,Lebanon,2,0,Asian Cup,United Arab Emirates,True,1552.0,1425.0
2019-01-09,Japan,Turkmenistan,3,2,Asian Cup,United Arab Emirates,True,1733.0,1250.0
2019-01-09,Uzbekistan,Oman,2,1,Asian Cup,United Arab Emirates,True,1612.0,1516.0
2019-01-10,Jordan,Syria,2,0,Asian Cup,United Arab Emirates,True,1538.0,1538.0
2019-01-11,South Korea,Kyrgyzstan,1,0,Asian Cup,United Arab Emirates,True,1783.0,1277.0
2019-01-11,Iceland,Sweden,2,2,Friendly,Qatar,True,1672.0,1830.0
2019-01-11,Australia,Palestine,3,0,Asian Cup,United Arab Emirates,True,1707.0,1383.0
2019-01-12,Saudi Arabia,Lebanon,2,0,Asian Cup,United Arab Emirates,True,1630.0,1406.0
2019-01-12,Iran,Vietnam,2,0,Asian Cup,United Arab Emirates,True,1830.0,1324.0
2019-01-12,Iraq,Yemen,3,0,Asian Cup,United Arab Emirates,True,1600.0,1180.0
2019-01-13,Japan,Oman,1,0,Asian Cup,United Arab Emirates,True,1744.0,1505.0
2019-01-13,Qatar,North Korea,6,0,Asian Cup,United Arab Emirates,True,1584.0,1371.0
2019-01-13,Uzbekistan,Turkmenistan,4,0,Asian Cup,United Arab Emirates,True,1622.0,1240.0
2019-01-15,Australia,Syria,3,2,Asian Cup,United Arab Emirates,True,1721.0,1524.0
2019-01-15,Jordan,Palestine,0,0,Asian Cup,United Arab Emirates,True,1528.0,1393.0
2019-01-16,South Korea,China,2,0,Asian Cup,United Arab Emirates,True,1798.0,1520.0
2019-01-16,Iran,Iraq,0,0,Asian Cup,United Arab Emirates,True,1816.0,1614.0
2019-01-17,Japan,Uzbekistan,2,1,Asian Cup,United Arab Emirates,True,1761.0,1605.0
2019-01-17,Qatar,Saudi Arabia,2,0,Asian Cup,United Arab Emirates,True,1626.0,1588.0
2019-01-20,Jordan,Vietnam,1,1,Asian Cup,United Arab Emirates,True,1516.0,1359.0
2019-01-20,Iran,Oman,2,0,Asian Cup,United Arab Emirates,True,1827.0,1507.0
2019-01-21,Japan,Saudi Arabia,1,0,Asian Cup,United Arab Emirates,True,1774.0,1575.0
2019-01-21,Australia,Uzbekistan,0,0,Asian Cup,United Arab Emirates,True,1713.0,1613.0
2019-01-22,South Korea,Bahrain,2,1,Asian Cup,United Arab Emirates,True,1803.0,1419.0
2019-01-22,Qatar,Iraq,1,0,Asian Cup,United Arab Emirates,True,1650.0,1590.0
2019-01-24,Japan,Vietnam,1,0,Asian Cup,United Arab Emirates,True,1778.0,1355.0
2019-01-24,Iran,China,3,0,Asian Cup,United Arab Emirates,True,1841.0,1520.0
2019-01-25,United Arab Emirates,Australia,1,0,Asian Cup,United Arab Emirates,False,1514.0,1679.0
2019-01-25,Qatar,South Korea,1,0,Asian Cup,United Arab Emirates,True,1685.0,1768.0
2019-01-28,Japan,Iran,3,0,Asian Cup,United Arab Emirates,True,1830.0,1789.0
2019-01-29,United Arab Emirates,Qatar,0,4,Asian Cup,United Arab Emirates,False,1477.0,1722.0
2019-02-01,Qatar,Japan,3,1,Asian Cup,United Arab Emirates,True,1771.0,1781.0
2019-03-22,Peru,Paraguay,1,0,Friendly,United States,True,1861.0,1717.0
2019-03-22,Venezuela,Argentina,3,1,Friendly,Spain,True,1778.0,1899.0
2019-03-22,Uruguay,Uzbekistan,3,0,Friendly tournament,China,True,1929.0,1605.0
2019-03-22,Mexico,Chile,3,1,Friendly,United States,True,1797.0,1833.0
2019-03-23,Syria,Jordan,1,0,Friendly tournament,Iraq,True,1531.0,1501.0
2019-03-23,Brazil,Panama,1,1,Friendly,Portugal,True,2127.0,1569.0
2019-03-24,South Africa,Libya,2,1,African Nations Cup qualifier,Tunisia,True,1564.0,1458.0
2019-03-25,Uruguay,Thailand,4,0,Friendly tournament,China,True,1931.0,1371.0
2019-03-26,Mexico,Paraguay,4,2,Friendly,United States,True,1809.0,1705.0
2019-03-26,Ecuador,Honduras,0,0,Friendly,United States,True,1759.0,1596.0
2019-06-01,Ecuador,Venezuela,1,1,Friendly,United States,True,1760.0,1777.0
2019-06-02,El Salvador,Haiti,1,0,Friendly,United States,True,1537.0,1509.0
2019-06-05,Mexico,Venezuela,3,1,Friendly,United States,True,1823.0,1763.0
2019-06-05,Curaçao,India,3,1,King's Cup,Thailand,True,1327.0,1236.0
2019-06-06,Netherlands,England,3,1,European Nations League,Portugal,True,2000.0,1942.0
2019-06-07,Ivory Coast,Comoros,3,1,Friendly,France,True,1611.0,1096.0
2019-06-08,Curaçao,Vietnam,1,1,King's Cup,Thailand,True,1329.0,1373.0
2019-06-09,Burkina Faso,DR Congo,0,0,Friendly,Spain,True,1531.0,1548.0
2019-06-09,Namibia,Ghana,1,0,Friendly,United Arab Emirates,True,1370.0,1613.0
2019-06-09,Mexico,Ecuador,3,2,Friendly,United States,True,1831.0,1752.0
2019-06-09,England,Switzerland,0,0,European Nations League,Portugal,True,1939.0,1900.0
2019-06-10,Canada,Trinidad and Tobago,2,0,Friendly,United States,True,1565.0,1430.0
2019-06-11,Algeria,Burundi,1,1,Friendly,Qatar,True,1532.0,1361.0
2019-06-11,Haiti,Guyana,3,1,Friendly,Costa Rica,True,1511.0,1178.0
2019-06-15,Mexico,Cuba,7,0,CONCACAF Championship,United States,True,1837.0,1323.0
2019-06-15,Colombia,Argentina,2,0,Copa America,Brazil,True,2004.0,1878.0
2019-06-15,Canada,Martinique,4,0,CONCACAF Championship,United States,True,1599.0,1430.0
2019-06-15,Ghana,South Africa,0,0,Friendly,United Arab Emirates,True,1610.0,1525.0
2019-06-15,DR Congo,Kenya,1,1,Friendly,Spain,True,1544.0,1392.0
2019-06-15,Uganda,Ivory Coast,1,0,Friendly,United Arab Emirates,True,1446.0,1596.0
2019-06-16,Paraguay,Qatar,2,2,Copa America,Brazil,True,1710.0,1764.0
2019-06-16,Senegal,Nigeria,1,0,Friendly,Egypt,True,1770.0,1700.0
2019-06-16,Algeria,Mali,3,2,Friendly,Qatar,True,1542.0,1518.0
2019-06-16,Haiti,Bermuda,2,1,CONCACAF Championship,Costa Rica,True,1519.0,1222.0
2019-06-16,Uruguay,Ecuador,4,0,Copa America,Brazil,True,1957.0,1728.0
2019-06-17,Chile,Japan,4,0,Copa America,Brazil,True,1874.0,1734.0
2019-06-17,El Salvador,Curaçao,1,0,CONCACAF Championship,Jamaica,True,1545.0,1317.0
2019-06-18,United States,Guyana,4,0,CONCACAF Championship,United States,False,1728.0,1176.0
2019-06-18,Panama,Trinidad and Tobago,2,0,CONCACAF Championship,United States,True,1589.0,1406.0
2019-06-19,Argentina,Paraguay,1,1,Copa America,Brazil,True,1867.0,1721.0
2019-06-19,Mexico,Canada,3,1,CONCACAF Championship,United States,True,1852.0,1584.0
2019-06-19,Ivory Coast,Zambia,4,1,Friendly,United Arab Emirates,True,1607.0,1446.0
2019-06-19,Colombia,Qatar,1,0,Copa America,Brazil,True,2014.0,1754.0
2019-06-20,Japan,Uruguay,2,2,Copa America,Brazil,True,1748.0,1943.0
2019-06-20,Haiti,Nicaragua,2,0,CONCACAF Championship,United States,True,1535.0,1276.0
2019-06-21,Egypt,Zimbabwe,1,0,African Nations Cup,Egypt,False,1616.0,1469.0
2019-06-21,Curaçao,Honduras,1,0,CONCACAF Championship,United States,True,1358.0,1538.0
2019-06-21,Chile,Ecuador,2,1,Copa America,Brazil,True,1889.0,1713.0
2019-06-22,Uganda,DR Congo,2,0,African Nations Cup,Egypt,True,1494.0,1496.0
2019-06-22,United States,Trinidad and Tobago,6,0,CONCACAF Championship,United States,False,1737.0,1397.0
2019-06-22,Panama,Guyana,4,2,CONCACAF Championship,United States,True,1595.0,1170.0
2019-06-23,Colombia,Paraguay,1,0,Copa America,Brazil,True,2022.0,1713.0
2019-06-23,Mexico,Martinique,3,2,CONCACAF Championship,United States,True,1857.0,1456.0
2019-06-23,Canada,Cuba,7,0,CONCACAF Championship,United States,True,1602.0,1274.0
2019-06-23,Argentina,Qatar,2,0,Copa America,Brazil,True,1893.0,1728.0
2019-06-23,Senegal,Tanzania,2,0,African Nations Cup,Egypt,True,1777.0,1354.0
2019-06-23,Algeria,Kenya,2,0,African Nations Cup,Egypt,True,1564.0,1370.0
2019-06-23,Morocco,Namibia,1,0,African Nations Cup,Egypt,True,1675.0,1362.0
2019-06-24,Ecuador,Japan,1,1,Copa America,Brazil,True,1716.0,1745.0
2019-06-24,Ivory Coast,South Africa,1,0,African Nations Cup,Egypt,True,1626.0,1506.0
2019-06-24,Angola,Tunisia,1,1,African Nations Cup,Egypt,True,1378.0,1650.0
2019-06-24,Haiti,Costa Rica,2,1,CONCACAF Championship,United States,True,1572.0,1671.0
2019-06-24,Uruguay,Chile,1,0,Copa America,Brazil,True,1964.0,1868.0
2019-06-25,Curaçao,Jamaica,1,1,CONCACAF Championship,United States,True,1372.0,1557.0
2019-06-25,Benin,Ghana,2,2,African Nations Cup,Egypt,True,1435.0,1598.0
2019-06-26,Egypt,DR Congo,2,0,African Nations Cup,Egypt,False,1632.0,1480.0
2019-06-26,United States,Panama,1,0,CONCACAF Championship,United States,False,1747.0,1585.0
2019-06-27,Algeria,Senegal,1,0,African Nations Cup,Egypt,True,1603.0,1738.0
2019-06-28,South Africa,Namibia,1,0,African Nations Cup,Egypt,True,1521.0,1347.0
2019-06-28,Mali,Tunisia,1,1,African Nations Cup,Egypt,True,1549.0,1642.0
2019-06-28,Morocco,Ivory Coast,1,0,African Nations Cup,Egypt,True,1696.0,1605.0
2019-06-28,Argentina,Venezuela,2,0,Copa America,Brazil,True,1923.0,1797.0
2019-06-28,Chile,Colombia,0,0,Copa America,Brazil,True,1878.0,2012.0
2019-06-29,Peru,Uruguay,0,0,Copa America,Brazil,True,1836.0,1955.0
2019-06-29,Costa Rica,Mexico,1,1,CONCACAF Championship,United States,True,1683.0,1845.0
2019-06-29,Cameroon,Ghana,0,0,African Nations Cup,Egypt,True,1614.0,1599.0
2019-06-29,Haiti,Canada,3,2,CONCACAF Championship,United States,True,1599.0,1575.0
2019-06-30,Egypt,Uganda,2,0,African Nations Cup,Egypt,False,1647.0,1477.0
2019-06-30,DR Congo,Zimbabwe,4,0,African Nations Cup,Egypt,True,1526.0,1425.0
2019-06-30,United States,Curaçao,1,0,CONCACAF Championship,United States,False,1750.0,1369.0
2019-06-30,Jamaica,Panama,1,0,CONCACAF Championship,United States,True,1584.0,1558.0
2019-07-01,Morocco,South Africa,1,0,African Nations Cup,Egypt,True,1709.0,1508.0
2019-07-01,Senegal,Kenya,3,0,African Nations Cup,Egypt,True,1749.0,1383.0
2019-07-01,Algeria,Tanzania,3,0,African Nations Cup,Egypt,True,1618.0,1315.0
2019-07-01,Ivory Coast,Namibia,4,1,African Nations Cup,Egypt,True,1621.0,1331.0
2019-07-02,Mexico,Haiti,1,0,CONCACAF Championship,United States,True,1855.0,1589.0
2019-07-02,Mauritania,Tunisia,0,0,African Nations Cup,Egypt,True,1342.0,1624.0
2019-07-02,Ghana,Guinea-Bissau,2,0,African Nations Cup,Egypt,True,1610.0,1279.0
2019-07-03,United States,Jamaica,3,1,CONCACAF Championship,United States,False,1763.0,1571.0
2019-07-05,Senegal,Uganda,1,0,African Nations Cup,Egypt,True,1758.0,1468.0
2019-07-05,Benin,Morocco,1,1,African Nations Cup,Egypt,True,1452.0,1693.0
2019-07-06,Egypt,South Africa,0,1,African Nations Cup,Egypt,False,1607.0,1548.0
2019-07-06,Argentina,Chile,2,1,Copa America,Brazil,True,1930.0,1810.0
2019-07-07,DR Congo,Madagascar,2,2,African Nations Cup,Egypt,True,1518.0,1425.0
2019-07-07,Algeria,Guinea,3,0,African Nations Cup,Egypt,True,1642.0,1420.0
2019-07-07,United States,Mexico,0,1,CONCACAF Championship,United States,False,1737.0,1881.0
2019-07-08,Ghana,Tunisia,1,1,African Nations Cup,Egypt,True,1611.0,1623.0
2019-07-08,Ivory Coast,Mali,1,0,African Nations Cup,Egypt,True,1642.0,1541.0
2019-07-10,Senegal,Benin,1,0,African Nations Cup,Egypt,True,1765.0,1445.0
2019-07-10,Nigeria,South Africa,2,1,African Nations Cup,Egypt,True,1686.0,1531.0
2019-07-11,Tunisia,Madagascar,3,0,African Nations Cup,Egypt,True,1644.0,1404.0
2019-07-11,Algeria,Ivory Coast,1,1,African Nations Cup,Egypt,True,1642.0,1642.0
2019-07-14,Algeria,Nigeria,2,1,African Nations Cup,Egypt,True,1670.0,1658.0
2019-07-14,Senegal,Tunisia,1,0,African Nations Cup,Egypt,True,1782.0,1627.0
2019-07-17,Nigeria,Tunisia,1,0,African Nations Cup,Egypt,True,1681.0,1604.0
2019-07-19,Algeria,Senegal,1,0,African Nations Cup,Egypt,True,1703.0,1749.0
2019-08-04,Kuwait,Saudi Arabia,2,1,West Asian Championship,Iraq,True,1458.0,1540.0
2019-08-04,Bahrain,Jordan,1,0,West Asian Championship,Iraq,True,1443.0,1470.0
2019-08-07,Jordan,Kuwait,1,1,West Asian Championship,Iraq,True,1469.0,1459.0
2019-08-07,Bahrain,Saudi Arabia,0,0,West Asian Championship,Iraq,True,1448.0,1535.0
2019-08-10,Jordan,Saudi Arabia,3,0,West Asian Championship,Iraq,True,1511.0,1493.0
2019-09-05,Ecuador,Peru,1,0,Friendly,United States,True,1730.0,1861.0
2019-09-05,Georgia,South Korea,2,2,Friendly,Turkey,True,1532.0,1781.0
2019-09-05,Argentina,Chile,0,0,Friendly,United States,True,1927.0,1813.0
2019-09-06,Benin,Ivory Coast,2,1,Friendly,France,True,1460.0,1627.0
2019-09-06,Brazil,Colombia,2,2,Friendly,United States,True,2122.0,2015.0
2019-09-09,Iraq,Uzbekistan,0,0,Friendly,Jordan,True,1569.0,1585.0
2019-09-10,Peru,Brazil,1,0,Friendly,United States,True,1877.0,2106.0
2019-09-10,Argentina,Mexico,4,0,Friendly,United States,True,1944.0,1879.0
2019-09-10,Colombia,Venezuela,0,0,Friendly,United States,True,2009.0,1803.0
2019-09-10,Ivory Coast,Tunisia,2,1,Friendly,France,True,1636.0,1597.0
2019-09-10,Saudi Arabia,Yemen,2,2,World Cup and Asian Cup qual,Bahrain,True,1478.0,1208.0
2019-09-10,Canada,Cuba,1,0,CONCACAF Nations League A,Cayman Islands,True,1589.0,1260.0
2019-10-10,Costa Rica,Haiti,1,1,CONCACAF Nations League A,Bahamas,True,1671.0,1556.0
2019-10-10,Brazil,Senegal,1,1,Friendly,Singapore,True,2098.0,1757.0
2019-10-10,Cape Verde,Togo,2,1,Friendly,France,True,1397.0,1337.0
2019-10-12,Chile,Colombia,0,0,Friendly,Spain,True,1805.0,2004.0
2019-10-13,Ivory Coast,DR Congo,3,1,Friendly,France,True,1646.0,1515.0
2019-10-13,Brazil,Nigeria,1,1,Friendly,Singapore,True,2090.0,1695.0
2019-10-13,Argentina,Ecuador,6,1,Friendly,Spain,True,1956.0,1728.0
2019-10-15,Algeria,Colombia,3,0,Friendly,France,True,1728.0,1974.0
2019-11-14,Iraq,Iran,2,1,World Cup and Asian Cup qual,Jordan,True,1604.0,1739.0
2019-11-15,Argentina,Brazil,1,0,Friendly,Saudi Arabia,True,1970.0,2076.0
2019-11-15,Colombia,Peru,1,0,Friendly,United States,True,1981.0,1865.0
2019-11-18,Argentina,Uruguay,2,2,Friendly,Israel,True,1970.0,1965.0
2019-11-18,Gambia,DR Congo,2,2,African Nations Cup qualifier,The Gambia,True,1332.0,1502.0
2019-11-19,Qatar,Afghanistan,1,0,World Cup and Asian Cup qual,Tajikistan,True,1720.0,1140.0
2019-11-19,Brazil,South Korea,3,0,Friendly,United Arab Emirates,True,2081.0,1753.0
2019-11-19,Bahrain,Iraq,0,0,World Cup and Asian Cup qual,Jordan,True,1510.0,1598.0
2019-11-19,United States,Cuba,4,0,CONCACAF Nations League A,Cayman Islands,True,1720.0,1268.0
2019-11-19,Colombia,Ecuador,1,0,Friendly,United States,True,1985.0,1726.0
2019-11-27,Kuwait,Saudi Arabia,3,1,Gulf Cup,Qatar,True,1465.0,1482.0
2019-11-29,Iraq,United Arab Emirates,2,0,Gulf Cup,Qatar,True,1647.0,1459.0
2019-11-30,Saudi Arabia,Bahrain,2,0,Gulf Cup,Qatar,True,1514.0,1479.0
2019-12-02,Iraq,Yemen,0,0,Gulf Cup,Qatar,True,1630.0,1210.0
2019-12-02,Saudi Arabia,Oman,3,1,Gulf Cup,Qatar,True,1546.0,1504.0
2019-12-05,Bahrain,Iraq,2,2,Gulf Cup,Qatar,True,1513.0,1623.0
2019-12-08,Bahrain,Saudi Arabia,1,0,Gulf Cup,Qatar,True,1537.0,1554.0
2019-12-10,Japan,China,2,1,East Asian Championship,South Korea,True,1755.0,1454.0
2019-12-14,Japan,Hong Kong,5,0,East Asian Championship,South Korea,True,1758.0,1182.0
2020-01-07,Canada,Barbados,4,1,Friendly,United States,True,1605.0,1102.0
2020-01-09,Sweden,Moldova,1,0,Friendly,Qatar,True,1860.0,1238.0
2020-01-10,Canada,Barbados,4,1,Friendly,United States,True,1607.0,1100.0
2020-01-12,Sweden,Kosovo,1,0,Friendly,Qatar,True,1863.0,1561.0
2020-01-15,Iceland,Canada,1,0,Friendly,United States,True,1680.0,1599.0
2020-02-23,Belarus,Uzbekistan,1,0,Friendly,United Arab Emirates,True,1505.0,1567.0
2020-09-04,Italy,Bosnia and Herzegovina,1,1,European Nations League A,Italy,False,1952.0,1699.0
2020-09-04,Scotland,Israel,1,1,European Nations League B,Scotland,False,1629.0,1548.0
2020-09-04,Norway,Austria,1,2,European Nations League B,Norway,False,1697.0,1766.0
2020-09-07,Czechia,Scotland,1,2,European Nations League B,Czechia,False,1741.0,1661.0
2020-09-07,Northern Ireland,Norway,1,5,European Nations League B,Northern Ireland,False,1638.0,1744.0
2020-09-07,Austria,Romania,2,3,European Nations League B,Austria,False,1737.0,1723.0
2020-09-07,Bosnia and Herzegovina,Poland,1,2,European Nations League A,Bosnia and Herzegovina,False,1678.0,1805.0
2020-10-09,Algeria,Nigeria,1,0,Friendly,Austria,True,1751.0,1700.0
2020-10-09,Cameroon,Japan,0,0,Friendly,Netherlands,True,1582.0,1740.0
2020-10-09,Burkina Faso,DR Congo,3,0,Friendly,Morocco,True,1542.0,1486.0
2020-10-09,Mali,Ghana,3,0,Friendly,Turkey,True,1556.0,1608.0
2020-10-10,Guinea,Cape Verde,2,1,Friendly,Portugal,True,1438.0,1397.0
2020-10-11,Bosnia and Herzegovina,Netherlands,0,0,European Nations League A,Bosnia and Herzegovina,False,1681.0,1967.0
2020-10-11,Norway,Romania,4,0,European Nations League B,Norway,False,1746.0,1680.0
2020-10-11,Scotland,Slovakia,1,0,European Nations League B,Scotland,False,1666.0,1672.0
2020-10-11,Northern Ireland,Austria,0,1,European Nations League B,Northern Ireland,False,1626.0,1762.0
2020-10-12,Ghana,Qatar,5,1,Friendly,Turkey,True,1630.0,1646.0
2020-10-13,Algeria,Mexico,2,2,Friendly,Netherlands,True,1755.0,1914.0
2020-10-13,Japan,Ivory Coast,1,0,Friendly,Netherlands,True,1747.0,1617.0
2020-10-13,Nigeria,Tunisia,1,1,Friendly,Austria,True,1698.0,1624.0
2020-10-14,Scotland,Czechia,1,0,European Nations League B,Scotland,False,1686.0,1739.0
2020-10-14,Norway,Northern Ireland,1,0,European Nations League B,Norway,False,1755.0,1617.0
2020-10-14,Romania,Austria,0,1,European Nations League B,Romania,False,1659.0,1783.0
2020-10-14,Poland,Bosnia and Herzegovina,3,0,European Nations League A,Poland,False,1830.0,1667.0
2020-11-12,Syria,Uzbekistan,1,0,Friendly,United Arab Emirates,True,1497.0,1559.0
2020-11-12,Iraq,Jordan,0,0,Friendly,United Arab Emirates,True,1619.0,1482.0
2020-11-13,Japan,Panama,1,0,Friendly,Austria,True,1752.0,1543.0
2020-11-13,Costa Rica,Qatar,1,1,Friendly,Austria,True,1621.0,1645.0
2020-11-14,Mexico,South Korea,3,2,Friendly,Austria,True,1920.0,1766.0
2020-11-15,Netherlands,Bosnia and Herzegovina,3,1,European Nations League A,Netherlands,False,1977.0,1646.0
2020-11-15,Austria,Northern Ireland,2,1,European Nations League B,Austria,False,1794.0,1587.0
2020-11-15,Slovakia,Scotland,1,0,European Nations League B,Slovakia,False,1681.0,1679.0
2020-11-16,Jordan,Syria,1,0,Friendly,United Arab Emirates,True,1492.0,1487.0
2020-11-16,United States,Panama,6,2,Friendly,Austria,True,1740.0,1534.0
2020-11-17,Mexico,Japan,2,0,Friendly,Austria,True,1928.0,1744.0
2020-11-17,South Korea,Qatar,2,1,Friendly,Austria,True,1773.0,1638.0
2020-11-17,Iraq,Uzbekistan,2,1,Friendly,United Arab Emirates,True,1627.0,1551.0
2020-11-17,Central African Republic,Morocco,0,2,African Nations Cup qualifier,Cameroon,True,1331.0,1681.0
