date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2016-06-20,England,Slovakia,0,0,European Championship,France,True,1952.0,1773.0
2016-06-21,Germany,Northern Ireland,1,0,European Championship,France,True,2041.0,1662.0
2016-06-21,Croatia,Spain,2,1,European Championship,France,True,1874.0,1985.0
2016-06-21,Turkey,Czechia,2,0,European Championship,France,True,1815.0,1717.0
2016-06-22,South Africa,Swaziland,5,1,COSAFA Cup,Namibia,True,1599.0,1315.0
2016-06-22,Botswana,DR Congo,0,0,COSAFA Cup,Namibia,True,1304.0,1564.0
2016-06-22,Chile,Colombia,2,0,Copa America,United States,True,2034.0,1930.0
2016-06-22,Iceland,Austria,2,1,European Championship,France,True,1714.0,1713.0
2016-06-22,Hungary,Portugal,3,3,European Championship,France,True,1748.0,1872.0
2016-06-22,Belgium,Sweden,1,0,European Championship,France,True,1921.0,1733.0
2016-06-25,Swaziland,DR Congo,1,0,COSAFA Cup,Namibia,True,1347.0,1532.0
2016-06-25,Portugal,Croatia,1,0,European Championship,France,True,1897.0,1849.0
2016-06-25,South Africa,Botswana,3,2,COSAFA Cup,Namibia,True,1605.0,1298.0
2016-06-25,Poland,Switzerland,1,1,European Championship,France,True,1817.0,1802.0
2016-06-26,Argentina,Chile,0,0,Copa America,United States,True,2109.0,2040.0
2016-06-26,Belgium,Hungary,4,0,European Championship,France,True,1946.0,1723.0
2016-06-26,France,Ireland,2,1,European Championship,France,False,1975.0,1759.0
2016-06-26,Germany,Slovakia,3,0,European Championship,France,True,2056.0,1758.0
2016-06-27,Iceland,England,2,1,European Championship,France,True,1754.0,1912.0
2016-06-27,Italy,Spain,2,0,European Championship,France,True,1941.0,1938.0
2016-06-30,Poland,Portugal,1,1,European Championship,France,True,1823.0,1891.0
2016-07-01,Wales,Belgium,3,1,European Championship,France,True,1807.0,1889.0
2016-07-02,Germany,Italy,1,1,European Championship,France,True,2048.0,1949.0
2016-07-03,France,Iceland,5,2,European Championship,France,False,1987.0,1742.0
2016-07-06,Portugal,Wales,2,0,European Championship,France,True,1920.0,1778.0
2016-07-07,France,Germany,2,0,European Championship,France,False,2020.0,2015.0
2016-07-10,France,Portugal,0,1,European Championship,France,False,1982.0,1958.0
2016-08-16,North Korea,Iraq,1,0,Friendly,Malaysia,True,1514.0,1484.0
2016-08-18,Qatar,Jordan,3,2,Friendly,Switzerland,True,1554.0,1526.0
2016-08-21,Iraq,North Korea,1,1,Friendly,Malaysia,True,1485.0,1513.0
2016-08-24,Saudi Arabia,Laos,4,0,Friendly,Qatar,True,1528.0,793.0
2016-09-06,Syria,South Korea,0,0,World Cup qualifier,Malaysia,True,1517.0,1788.0
2016-09-06,Iraq,Saudi Arabia,1,2,World Cup qualifier,Malaysia,True,1460.0,1555.0
2016-10-06,Canada,Mauritania,4,0,Friendly,Morocco,True,1530.0,1297.0
2016-10-06,Croatia,Kosovo,6,0,World Cup qualifier,Albania,True,1848.0,1406.0
2016-10-08,Mexico,New Zealand,2,1,Friendly,United States,True,1897.0,1539.0
2016-10-10,Belgium,Gibraltar,6,0,World Cup qualifier,Portugal,True,1898.0,1102.0
2016-10-11,Mexico,Panama,1,0,Friendly,United States,True,1901.0,1660.0
2016-10-11,Iraq,Thailand,4,0,World Cup qualifier,Iran,True,1487.0,1364.0
2016-11-10,Iran,Papua New Guinea,8,1,Friendly,Malaysia,True,1788.0,1135.0
2016-11-11,Tunisia,Libya,1,0,World Cup qualifier,Algeria,True,1594.0,1466.0
2016-11-15,Syria,Iran,0,0,World Cup qualifier,Malaysia,True,1546.0,1775.0
2017-01-06,Haiti,Suriname,4,2,CONCACAF Ch q & Car Ch PO,Trinidad and Tobago,True,1488.0,1243.0
2017-01-08,Senegal,Libya,2,1,Friendly,Congo,True,1673.0,1461.0
2017-01-08,Ivory Coast,Sweden,2,1,Friendly,United Arab Emirates,True,1728.0,1755.0
2017-01-09,Finland,Morocco,1,0,Friendly,United Arab Emirates,True,1551.0,1588.0
2017-01-11,Ivory Coast,Uganda,3,0,Friendly,United Arab Emirates,True,1735.0,1480.0
2017-01-11,Chile,Croatia,1,1,Friendly tournament,China,True,1977.0,1890.0
2017-01-14,Saudi Arabia,Cambodia,7,2,Friendly,United Arab Emirates,True,1580.0,808.0
2017-01-15,Senegal,Tunisia,2,0,African Nations Cup,Gabon,True,1709.0,1560.0
2017-01-15,Algeria,Zimbabwe,2,2,African Nations Cup,Gabon,True,1621.0,1436.0
2017-01-16,DR Congo,Morocco,1,0,African Nations Cup,Gabon,True,1591.0,1561.0
2017-01-16,Ivory Coast,Togo,0,0,African Nations Cup,Gabon,True,1717.0,1432.0
2017-01-17,Egypt,Mali,0,0,African Nations Cup,Gabon,True,1653.0,1545.0
2017-01-17,Ghana,Uganda,1,0,African Nations Cup,Gabon,True,1607.0,1463.0
2017-01-19,Senegal,Zimbabwe,2,0,African Nations Cup,Gabon,True,1722.0,1423.0
2017-01-19,Tunisia,Algeria,2,1,African Nations Cup,Gabon,True,1589.0,1592.0
2017-01-20,DR Congo,Ivory Coast,2,2,African Nations Cup,Gabon,True,1600.0,1708.0
2017-01-20,Morocco,Togo,3,1,African Nations Cup,Gabon,True,1585.0,1408.0
2017-01-21,Egypt,Uganda,1,0,African Nations Cup,Gabon,True,1666.0,1450.0
2017-01-21,Ghana,Mali,1,0,African Nations Cup,Gabon,True,1628.0,1524.0
2017-01-23,Tunisia,Zimbabwe,4,2,African Nations Cup,Gabon,True,1610.0,1402.0
2017-01-23,Algeria,Senegal,2,2,African Nations Cup,Gabon,True,1601.0,1713.0
2017-01-23,Georgia,Uzbekistan,2,2,Friendly,United Arab Emirates,True,1476.0,1663.0
2017-01-24,DR Congo,Togo,3,1,African Nations Cup,Gabon,True,1619.0,1389.0
2017-01-24,Morocco,Ivory Coast,1,0,African Nations Cup,Gabon,True,1618.0,1675.0
2017-01-25,Jordan,Georgia,1,0,Friendly,United Arab Emirates,True,1514.0,1467.0
2017-01-25,Egypt,Ghana,1,0,African Nations Cup,Gabon,True,1688.0,1606.0
2017-01-28,Burkina Faso,Tunisia,2,0,African Nations Cup,Gabon,True,1582.0,1565.0
2017-01-28,Cameroon,Senegal,0,0,African Nations Cup,Gabon,True,1619.0,1706.0
2017-01-29,Egypt,Morocco,1,0,African Nations Cup,Gabon,True,1708.0,1598.0
2017-01-29,Ghana,DR Congo,2,1,African Nations Cup,Gabon,True,1632.0,1593.0
2017-02-01,Burkina Faso,Egypt,1,1,African Nations Cup,Gabon,True,1591.0,1699.0
2017-02-02,Cameroon,Ghana,2,0,African Nations Cup,Gabon,True,1658.0,1593.0
2017-02-04,Burkina Faso,Ghana,1,0,African Nations Cup,Gabon,True,1616.0,1568.0
2017-02-05,Cameroon,Egypt,2,1,African Nations Cup,Gabon,True,1686.0,1671.0
2017-02-08,Mexico,Iceland,1,0,Friendly,United States,True,1917.0,1766.0
2017-03-23,Iraq,Australia,1,1,World Cup qualifier,Iran,True,1504.0,1701.0
2017-03-23,Syria,Uzbekistan,1,0,World Cup qualifier,Malaysia,True,1572.0,1637.0
2017-03-23,Nigeria,Senegal,1,1,Friendly,England,True,1667.0,1705.0
2017-03-27,Ivory Coast,Senegal,1,1,Friendly,France,True,1695.0,1705.0
2017-05-27,Croatia,Mexico,2,1,Friendly,United States,True,1870.0,1921.0
2017-06-01,Mexico,Ireland,3,1,Friendly,United States,True,1930.0,1771.0
2017-06-05,DR Congo,Botswana,2,0,Friendly,Morocco,True,1584.0,1270.0
2017-06-07,Iraq,South Korea,0,0,Friendly,United Arab Emirates,True,1509.0,1761.0
2017-06-07,Italy,Uruguay,3,0,Friendly,France,True,1969.0,1842.0
2017-06-08,Ecuador,Venezuela,1,1,Friendly,United States,True,1797.0,1688.0
2017-06-09,Argentina,Brazil,1,0,Friendly,Australia,True,2017.0,2109.0
2017-06-11,Kosovo,Turkey,1,4,World Cup qualifier,Albania,True,1384.0,1793.0
2017-06-13,Iraq,Japan,1,1,World Cup qualifier,Iran,True,1522.0,1762.0
2017-06-13,Colombia,Cameroon,4,0,Friendly,Spain,True,1969.0,1685.0
2017-06-13,Ecuador,El Salvador,3,0,Friendly,United States,True,1801.0,1425.0
2017-06-18,Mexico,Portugal,2,2,Confederations Cup,Russia,True,1922.0,1928.0
2017-06-19,Germany,Australia,3,2,Confederations Cup,Russia,True,2047.0,1710.0
2017-06-21,Mexico,New Zealand,2,1,Confederations Cup,Russia,True,1927.0,1533.0
2017-06-22,Australia,Cameroon,1,1,Confederations Cup,Russia,True,1707.0,1675.0
2017-06-22,Chile,Germany,1,1,Confederations Cup,Russia,True,1979.0,2042.0
2017-06-24,Portugal,New Zealand,4,0,Confederations Cup,Russia,True,1953.0,1525.0
2017-06-25,Germany,Cameroon,3,1,Confederations Cup,Russia,True,2050.0,1667.0
2017-06-25,Curaçao,Jamaica,2,1,Caribbean Championship,Martinique,True,1292.0,1481.0
2017-06-25,Australia,Chile,1,1,Confederations Cup,Russia,True,1723.0,1963.0
2017-06-28,Mexico,Ghana,1,0,Friendly,United States,True,1945.0,1577.0
2017-06-28,Chile,Portugal,0,0,Confederations Cup,Russia,True,1962.0,1954.0
2017-06-29,Germany,Mexico,4,1,Confederations Cup,Russia,True,2081.0,1914.0
2017-07-01,Mexico,Paraguay,2,1,Friendly,United States,True,1919.0,1707.0
2017-07-02,Portugal,Mexico,2,1,Confederations Cup,Russia,True,1976.0,1897.0
2017-07-02,Germany,Chile,1,0,Confederations Cup,Russia,True,2098.0,1945.0
2017-07-03,Nicaragua,Canada,3,1,Friendly,United States,True,1338.0,1508.0
2017-07-07,Canada,French Guiana,4,2,CONCACAF Championship,United States,True,1534.0,1369.0
2017-07-08,United States,Panama,1,1,CONCACAF Championship,United States,False,1755.0,1659.0
2017-07-09,Jamaica,Curaçao,2,0,CONCACAF Championship,United States,True,1500.0,1273.0
2017-07-09,Mexico,El Salvador,3,1,CONCACAF Championship,United States,True,1902.0,1420.0
2017-07-11,Canada,Costa Rica,1,1,CONCACAF Championship,United States,True,1549.0,1759.0
2017-07-12,United States,Martinique,3,2,CONCACAF Championship,United States,False,1759.0,1447.0
2017-07-12,Panama,Nicaragua,2,1,CONCACAF Championship,United States,True,1665.0,1303.0
2017-07-13,El Salvador,Curaçao,2,0,CONCACAF Championship,United States,True,1443.0,1250.0
2017-07-13,Jamaica,Mexico,0,0,CONCACAF Championship,United States,True,1521.0,1881.0
2017-07-14,Canada,Honduras,0,0,CONCACAF Championship,United States,True,1550.0,1567.0
2017-07-15,United States,Nicaragua,3,0,CONCACAF Championship,United States,False,1762.0,1300.0
2017-07-15,Panama,Martinique,3,0,CONCACAF Championship,United States,True,1684.0,1428.0
2017-07-16,Mexico,Curaçao,2,0,CONCACAF Championship,United States,True,1883.0,1248.0
2017-07-19,United States,El Salvador,2,0,CONCACAF Championship,United States,False,1768.0,1443.0
2017-07-19,Costa Rica,Panama,1,0,CONCACAF Championship,United States,True,1787.0,1665.0
2017-07-20,Jamaica,Canada,2,1,CONCACAF Championship,United States,True,1543.0,1522.0
2017-07-20,Mexico,Honduras,1,0,CONCACAF Championship,United States,True,1890.0,1560.0
2017-07-22,United States,Costa Rica,2,0,CONCACAF Championship,United States,False,1797.0,1758.0
2017-07-23,Jamaica,Mexico,1,0,CONCACAF Championship,United States,True,1587.0,1846.0
2017-07-26,United States,Jamaica,2,1,CONCACAF Championship,United States,False,1804.0,1580.0
2017-08-16,Qatar,Andorra,1,0,Friendly,England,True,1540.0,1021.0
2017-08-26,Iraq,Syria,1,1,Friendly,Malaysia,True,1523.0,1573.0
2017-08-31,Syria,Qatar,3,1,World Cup qualifier,Malaysia,True,1600.0,1515.0
