team,group,group_gf,group_ga,ko_gf,ko_ga,ko_match_rate
Spain,H,2.935,0.567,2.242,1.149,3.144
Argentina,J,2.762,0.673,1.895,0.959,3.049
France,I,2.669,0.744,2.149,1.137,3.296
Germany,E,2.15,0.815,1.779,1.517,2.264
Switzerland,B,2.069,0.866,1.486,1.501,1.967
England,L,2.004,0.651,1.769,1.175,2.711
Brazil,C,1.919,0.798,1.707,1.181,2.482
Portugal,K,1.909,0.726,1.907,1.09,2.779
Netherlands,F,1.851,0.89,1.734,1.391,2.235
Canada,B,1.842,0.899,1.111,1.402,1.662
Croatia,L,1.784,1.086,1.42,1.511,1.783
Belgium,G,1.767,0.676,1.519,1.298,2.205
Mexico,A,1.703,0.783,1.414,1.624,1.823
Colombia,K,1.679,0.733,1.607,1.076,2.464
Ecuador,E,1.579,0.964,1.238,1.527,1.667
Uruguay,H,1.536,0.882,1.193,1.205,1.807
Norway,I,1.447,2.013,1.449,2.378,1.115
Japan,F,1.393,1.128,1.212,1.424,1.478
Turkey,D,1.371,1.166,1.476,1.66,1.46
Iran,G,1.37,1.054,1.237,1.732,1.404
Senegal,I,1.359,1.222,1.301,1.324,1.623
Morocco,C,1.323,0.883,1.206,1.195,1.736
Austria,J,1.311,1.434,1.182,1.876,1.151
Czechia,A,1.303,1.229,1.208,1.594,1.289
South Korea,A,1.249,1.341,1.276,1.772,1.175
Algeria,J,1.2,1.343,1.126,1.636,1.143
Ivory Coast,E,1.19,1.226,1.033,1.503,1.198
Paraguay,D,1.178,1.206,1.27,1.609,1.217
Sweden,F,1.15,1.516,1.041,2.007,0.883
Scotland,C,1.136,1.254,1.096,1.756,1.121
United States,D,1.126,1.086,1.181,1.448,1.282
Panama,L,1.039,1.855,0.858,2.315,0.608
Australia,D,1.013,1.23,1.083,1.554,1.021
Bosnia and Herzegovina,B,0.944,1.668,0.873,2.091,0.638
Egypt,G,0.934,1.234,0.896,1.622,0.91
Jordan,J,0.817,2.64,0.915,3.249,0.261
Ghana,L,0.79,2.024,0.717,2.373,0.349
Qatar,B,0.77,2.193,0.779,2.514,0.296
Uzbekistan,K,0.745,1.733,0.797,2.061,0.52
Tunisia,F,0.732,1.592,0.69,1.662,0.479
Cape Verde,H,0.709,2.407,0.686,2.43,0.315
South Africa,A,0.61,1.513,0.682,1.483,0.442
Haiti,C,0.605,2.048,0.658,2.328,0.225
Saudi Arabia,H,0.588,1.913,0.572,1.824,0.344
DR Congo,K,0.556,1.696,0.639,1.819,0.353
New Zealand,G,0.527,1.633,0.546,1.983,0.316
Curaçao,E,0.478,2.391,0.482,2.512,0.117
Iraq,I,0.445,1.94,0.635,1.901,0.195
