match_uid,round_id,stage,date,home_team,away_team,pred_home,pred_away,xg_home,xg_away,p_home,p_draw,p_away,p_over25,p_under25,p_over35,p_under35,elo_retrieved_date,model_version
GRP|Mexico|South Africa,G1,Group A,2026-06-12,Mexico,South Africa,2,0,1.58,0.42,0.664033596640336,0.2408759124087591,0.0950904909509049,0.3244,0.6756,0.1436,0.8564,2026-06-11,f358167
GRP|Czechia|South Korea,G1,Group A,2026-06-12,South Korea,Czechia,0,1,1.34,1.41,0.3557,0.2551,0.3892,0.5193,0.4807,0.2977,0.7023,2026-06-11,f358167
GRP|Bosnia and Herzegovina|Canada,G1,Group B,2026-06-13,Canada,Bosnia and Herzegovina,2,1,1.63,0.79,0.5755575557555755,0.2454245424542454,0.179017901790179,0.4361,0.5639,0.2259,0.7741,2026-06-11,f358167
GRP|Qatar|Switzerland,G1,Group B,2026-06-14,Qatar,Switzerland,1,3,0.69,2.73,0.0694,0.1303,0.8003,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167
GRP|Brazil|Morocco,G1,Group C,2026-06-14,Brazil,Morocco,1,0,1.27,0.9,0.4472,0.2875,0.2653,0.3689,0.6311,0.1746,0.8254,2026-06-11,f358167
GRP|Haiti|Scotland,G1,Group C,2026-06-14,Haiti,Scotland,1,2,0.65,1.7,0.1383,0.2334,0.6283,0.4178,0.5822,0.2114,0.7886,2026-06-11,f358167
GRP|Paraguay|United States,G1,Group D,2026-06-13,United States,Paraguay,0,1,0.99,1.22,0.2987,0.2883,0.413,0.3791,0.6209,0.182,0.818,2026-06-11,f358167
GRP|Australia|Turkey,G1,Group D,2026-06-14,Australia,Turkey,0,1,1.08,1.4,0.2903290329032903,0.267026702670267,0.4426442644264426,0.4512,0.5488,0.2383,0.7617,2026-06-11,f358167
GRP|Curaçao|Germany,G1,Group E,2026-06-15,Germany,Curaçao,3,0,3.01,0.41,0.8839,0.0876,0.0285,0.6654,0.3346,0.4475,0.5525,2026-06-11,f358167
GRP|Ecuador|Ivory Coast,G1,Group E,2026-06-15,Ivory Coast,Ecuador,0,1,0.86,1.24,0.259,0.2925,0.4485,0.3507,0.6493,0.1616,0.8384,2026-06-11,f358167
GRP|Japan|Netherlands,G1,Group F,2026-06-15,Netherlands,Japan,2,1,1.56,1.09,0.4798,0.2529,0.2673,0.4939,0.5061,0.2748,0.7252,2026-06-11,f358167
GRP|Sweden|Tunisia,G1,Group F,2026-06-15,Sweden,Tunisia,1,0,1.42,0.82,0.5097509750975098,0.272027202720272,0.2182218221822182,0.3875,0.6125,0.1882,0.8118,2026-06-11,f358167
