market,n,brier,rps,accuracy,base_brier,base_rps
Overall,72,0.5821116693596967,0.24524138070415458,0.4861111111111111,0.5555555555555556,0.23842592592592593
1X2,24,0.6629280047457571,0.194020640445797,0.4166666666666667,0.6666666666666666,0.21527777777777782
O/U 2.5,24,0.5194040675,0.25970203375,0.5,0.5,0.25
O/U 3.5,24,0.5640029358333333,0.28200146791666664,0.5416666666666666,0.5,0.25
